Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
RELIANCE.NS,,Oil & Gas Refining & Marketing,Energy,347362,9,9,7,1,9,86400,2,1292.2,1288.0,1277.05,1311.35,1292.2,1288.0,1277.05,1311.35,5.0,0.0039,1724025600,0.0996,0.44,0.635,26.109894,20.543892,11021298,11021298,15856550,15676340,15676340,17715941081088,1203.15,1608.8,1.9153653,1342.4785,1445.0464,10.0,0.0077387406,20491297357824,0.07343,6178648529,13532399616,0.49667,0.27707002,13532399616,605.573,2.1618369,-0.048,50.14,71.85,0.074064255,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1309.15,1950.0,1300.0,1605.7222,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
TCS.NS,,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4270.85,4270.0,4230.05,4288.2,4270.85,4270.0,4230.05,4288.2,40.0,0.0094,1729209600,0.42810002,1.28,0.518,32.723618,27.61786,1670923,1670923,2259976,2352875,2352875,15473304403968,3502.8,4592.25,6.2218747,4162.064,4096.6445,57.0,0.013346289,15095013834752,0.19076,1002644413,3618089984,0.71783996,0.16433,3618089984,280.521,15.245382,0.05,130.69,154.68,0.2109667,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4276.65,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
HDFCBANK.NS,,Banks - Regional,Financial Services,206758,,,,,,86400,2,1796.05,1803.5,1775.0,1808.15,1796.05,1803.5,1775.0,1808.15,19.5,0.0109,1715299200,0.2152,0.67,0.833,20.422089,16.229317,7553500,7553500,18428494,37853445,37853445,13796678565888,1363.55,1836.1,4.996876,1726.976,1605.728,,,17899072782336,0.25056,7578068585,7644859904,0.01671,0.51755,7644859904,632.437,2.8535647,0.398,88.37,96.36,0.1114738,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1804.7,2550.0,1554.0,1946.4897,1950.0,1.48718,strong_buy,39,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
BHARTIARTL.NS,,Telecom Services,Communication Services,24893,3,2,6,5,2,86400,2,1627.15,1627.15,1617.2,1646.2,1627.15,1627.15,1617.2,1646.2,8.0,0.0049,1722988800,0.3868,0.8,0.291,79.554695,34.34299,3790047,3790047,5601733,7076099,7076099,9835154243584,960.0,1779.0,6.325741,1637.398,1446.2115,8.0,0.004916572,11872481837056,0.0789,2563438641,5691039744,0.55272996,0.31370002,5983909888,150.527,10.918972,1.68,20.66,,0.59402585,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1643.6,2070.0,1120.0,1778.75,1836.0,1.61111,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
ICICIBANK.NS,,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1300.1,1299.9,1289.15,1310.55,1300.1,1299.9,1289.15,1310.55,10.0,0.0077,1723420800,0.1512,0.99,0.829,19.71366,17.74345,9625636,9625636,13876062,14318390,14318390,9206367256576,970.15,1362.35,5.6187463,1272.196,1184.939,,,9903817097216,0.28909,7019272418,7056580096,0.02172,0.54547,7056580096,397.441,3.2826257,0.188,66.18,37.94,0.2873354,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1304.65,1650.0,1170.0,1465.225,1465.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
INFY.NS,,Information Technology Services,Technology,317788,7,5,4,1,4,86400,2,1857.85,1859.0,1835.2,1882.8,1857.85,1859.0,1835.2,1882.8,41.0,0.0221,1730160000,0.5924,2.13,0.626,28.911106,26.049242,2867999,2867999,5862487,6339048,6339048,7786150756352,1358.35,1991.45,413.3654,1872.626,1689.686,0.49,0.00026374572,7783573356544,0.17159,3509357129,4142010112,0.15784,0.50387,4142010112,2.605,721.6123,0.035,65.02,72.32,0.29289174,21.0,1730160000,NSI,EQUITY,INFY.NS,INFOSYS LIMITED,Infosys Limited,1879.8,2330.0,1530.0,2040.5952,2116.0,2.11905,buy,42,3488000000,0.842,4337999872,1051000000,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952,3671000064,0.042,0.037,0.29518,0.23030001,0.21945
SBIN.NS,,Banks - Regional,Financial Services,232296,6,8,1,4,5,86400,2,838.95,838.95,832.7,842.0,838.95,838.95,832.7,842.0,13.7,0.0163,1716336000,0.1709,1.39,0.76,10.428928,10.0425625,6649859,6649859,15007494,15056912,15056912,7464551972864,595.05,912.0,2.2214098,811.865,809.4387,13.7,0.016329937,10159070904320,0.21295,3749854196,8924619776,0.58242,0.2733,8924619776,518.846,1.6120391,0.229,80.2,82.67,0.3750925,13.7,1716336000,NSI,EQUITY,SBIN.NS,STATE BANK OF INDIA,State Bank of India,836.4,1102.0,690.0,957.87805,990.0,1.85366,buy,41,3549721001984,397.745,,6066625052672,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112,0.229,0.05,,,0.32476002
ITC.NS,,Tobacco,Consumer Defensive,37312,3,6,8,5,6,86400,2,476.75,476.0,473.4,479.3,476.75,476.0,473.4,479.3,15.0,0.0315,1717459200,0.83739996,4.04,0.241,29.097563,25.124027,5477958,5477958,11219617,11290940,11290940,5970153963520,399.35,528.5,7.945874,487.809,460.894,7.5,0.015731515,5788728819712,0.27337998,9137953176,12510799872,0.28409,0.46467,12677499904,60.148,7.933764,0.019,16.4,18.95,0.056336522,7.5,1717459200,NSI,EQUITY,ITC.NS,ITC LTD,ITC Limited,477.2,595.0,420.0,540.9143,540.0,1.6,buy,35,190998691840,15.263,264712994816,3043399936,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696,161626603520,0.018,0.167,0.58748,0.35232,0.301
HINDUNILVR.NS,,Household & Personal Products,Consumer Defensive,19427,3,4,4,8,3,86400,2,2496.15,2485.0,2460.55,2490.5,2496.15,2485.0,2460.55,2490.5,43.0,0.0172,1730851200,0.96089995,1.44,0.147,56.757095,48.62272,1006855,1006855,1709941,1751452,1751452,5825233944576,2172.05,3035.0,9.333816,2633.017,2540.2207,43.0,0.01722653,5713262280704,0.16452,873352575,2349590016,0.62259,0.18615,2349690112,216.156,11.469262,-0.024,43.68,,-0.032809913,10.0,1730851200,NSI,EQUITY,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,2479.15,3400.0,2057.0,2863.6924,2870.0,2.10256,buy,39,128999997440,54.916,142339997696,16510000128,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984,117009997824,-0.024,0.019,0.51583,0.22806999,0.21694
LICI.NS,,Insurance - Life,Financial Services,98661,,,,,,86400,2,985.5,985.0,974.35,999.95,985.5,985.0,974.35,999.95,13.0,0.0143,1721347200,0.1523,,0.522,14.990096,13.844326,1974555,1974555,1269180,2034397,2034397,6222535196672,702.6,1222.0,0.7172502,940.978,998.02625,,,5310828249088,0.05431,221374920,6325000192,0.965,0.0108,6331400192,130.825,7.5199695,0.6,65.63,60.52,0.37777472,6.0,1721347200,NSI,EQUITY,LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,983.8,1385.0,870.0,1162.3889,1196.5,,none,18,437919514624,69.236,515563913216,11200000,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021
