Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
RELIANCE.NS,,Oil & Gas Refining & Marketing,Energy,347362,7,10,7,1,10,86400,2,1270.8,1280.0,1275.25,1299.5,1270.8,1280.0,1275.25,1299.5,5.0,0.0039,1724025600,0.0996,0.44,0.635,25.77184,20.27381,13197189,13197189,15780484,15964835,15964835,17486566129664,1199.3,1608.8,1.8905663,1346.163,1445.9288,10.0,0.007869058,20261933940736,0.07343,6178648529,13532399616,0.49667,0.27707002,13532399616,605.573,2.1338468,-0.048,50.14,71.85,0.06784558,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1292.2,1950.0,1300.0,1610.0555,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
TCS.NS,,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4244.9,4220.0,4195.65,4298.7,4244.9,4220.0,4195.65,4298.7,40.0,0.0094,1729209600,0.42810002,1.28,0.518,32.67924,27.580406,2017380,2017380,2243892,2535430,2535430,15452320301056,3498.0,4592.25,6.2134366,4161.901,4095.7834,57.0,0.013427879,15074028683264,0.19076,1002644413,3618089984,0.71783996,0.16434,3618089984,280.521,15.224708,0.05,130.69,154.68,0.2159177,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4270.85,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
HDFCBANK.NS,,Banks - Regional,Financial Services,206758,,,,,,86400,2,1793.15,1801.3,1782.9,1804.6,1793.15,1801.3,1782.9,1804.6,19.5,0.0109,1715299200,0.2152,0.67,0.833,20.324205,16.15153,13833067,13833067,18584660,38518506,38518506,13730551169024,1363.55,1836.1,4.9729257,1726.078,1603.8053,,,17833178169344,0.25056,7578068585,7644859904,0.01671,0.51755,7644859904,632.437,2.8398876,0.398,88.37,96.36,0.1159749,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1796.05,2550.0,1554.0,1946.4897,1950.0,1.48718,strong_buy,39,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
BHARTIARTL.NS,,Telecom Services,Communication Services,24893,5,6,9,1,8,86400,2,1560.4,1551.15,1551.15,1648.9,1560.4,1551.15,1551.15,1648.9,8.0,0.0049,1722988800,0.3868,0.8,0.291,78.75847,33.99927,10775233,10775233,5602455,7190096,7190096,9736719171584,960.0,1779.0,6.2624297,1639.535,1443.631,8.0,0.0051268903,11777299447808,0.0789,2563438641,5691039744,0.55272996,0.31378,5983909888,150.527,10.8096895,1.68,20.66,,0.5753219,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1627.15,2070.0,1120.0,1778.75,1836.0,1.61111,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
ICICIBANK.NS,,Banks - Regional,Financial Services,187765,2,1,8,1,1,86400,2,1286.35,1283.1,1283.1,1303.25,1286.35,1283.1,1283.1,1303.25,10.0,0.0077,1723420800,0.1512,0.99,0.829,19.644907,17.681568,11396750,11396750,14007178,13937185,13937185,9174259859456,961.4,1362.35,5.5991507,1272.541,1183.7168,,,9871752691712,0.28909,7019272418,7056580096,0.02172,0.54547,7056580096,397.441,3.2711773,0.188,66.18,37.94,0.3116424,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1300.1,1650.0,1170.0,1465.225,1465.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
INFY.NS,,Information Technology Services,Technology,317788,10,5,5,1,5,86400,2,1856.65,1851.1,1845.0,1877.0,1856.65,1851.1,1845.0,1877.0,41.0,0.0221,1730160000,0.5924,2.13,0.626,28.573517,25.74507,5243430,5243430,5887282,6558046,6558046,7695233449984,1358.35,1991.45,408.5386,1872.959,1688.605,0.49,0.00026391618,7692658671616,0.17159,3509357129,4142010112,0.15784,0.50387,4142010112,2.605,713.18616,0.035,65.02,72.32,0.2687199,21.0,1730160000,NSI,EQUITY,INFY.NS,INFOSYS LIMITED,Infosys Limited,1857.85,2330.0,1530.0,2040.5952,2116.0,2.11905,buy,42,3488000000,0.842,4337999872,1051000000,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952,3671000064,0.042,0.037,0.29518,0.23030001,0.21945
SBIN.NS,,Banks - Regional,Financial Services,232296,9,9,1,5,8,86400,2,838.85,841.1,831.55,844.05,838.85,841.1,831.55,844.05,13.7,0.0163,1716336000,0.1709,1.39,0.76,10.460724,10.073179,10820259,10820259,15018840,15353727,15353727,7487309742080,584.55,912.0,2.2281823,811.174,809.006,13.7,0.016331883,10181828149248,0.21295,3749854196,8924619776,0.58242,0.2733,8924619776,518.846,1.6169537,0.229,80.2,82.67,0.4107113,13.7,1716336000,NSI,EQUITY,SBIN.NS,STATE BANK OF INDIA,State Bank of India,838.95,1102.0,690.0,957.87805,990.0,1.85366,buy,41,3549721001984,397.745,,6066625052672,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112,0.229,0.05,,,0.32476002
ITC.NS,,Tobacco,Consumer Defensive,37312,3,6,7,6,7,86400,2,474.9,473.2,472.6,478.9,474.9,473.2,472.6,478.9,15.0,0.0315,1717459200,0.83739996,4.04,0.241,29.070122,25.100334,8345783,8345783,11400358,11586125,11586125,5964523634688,399.35,528.5,7.9383807,488.604,460.56375,7.5,0.015792798,5783097966592,0.27337998,9137953176,12510799872,0.28409,0.46467,12677499904,60.148,7.926282,0.019,16.4,18.95,0.04999447,7.5,1717459200,NSI,EQUITY,ITC.NS,ITC LTD,ITC Limited,476.75,595.0,420.0,540.9143,540.0,1.6,buy,35,190998691840,15.263,264712994816,3043399936,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696,161626603520,0.018,0.167,0.58748,0.35232,0.301
HINDUNILVR.NS,,Household & Personal Products,Consumer Defensive,19427,2,5,4,8,3,86400,2,2462.2,2455.1,2455.1,2507.5,2462.2,2455.1,2455.1,2507.5,43.0,0.0172,1730851200,0.96089995,1.44,0.147,57.14629,48.97642,1794836,1794836,1714185,1792255,1792255,5865178923008,2172.05,3035.0,9.3978195,2644.005,2539.8516,43.0,0.017464057,5753196249088,0.16452,873352575,2349590016,0.62259,0.18616,2349690112,216.156,11.547909,-0.024,43.68,,-0.040790856,19.0,1730851200,NSI,EQUITY,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,2496.15,3400.0,2110.0,2878.282,2900.0,2.20513,buy,39,128999997440,54.916,142339997696,16510000128,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984,117009997824,-0.024,0.019,0.51583,0.22806999,0.21694
LICI.NS,,Insurance - Life,Financial Services,98661,,,,,,86400,2,938.6,947.0,945.0,992.15,938.6,947.0,945.0,992.15,13.0,0.0143,1721347200,0.1523,,0.522,15.016,13.86825,7395545,7395545,1244439,1888599,1888599,6233287819264,680.0,1222.0,0.71848965,941.959,998.3082,,,5310828249088,0.05431,221374920,6325000192,0.965,0.0108,6331400192,130.825,7.532964,0.6,65.63,60.52,0.37065363,6.0,1721347200,NSI,EQUITY,LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,985.5,1385.0,870.0,1162.3889,1196.5,,none,18,437919514624,69.236,515563913216,11200000,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021
HDFC.NS,,,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,HDFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
