row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
440557,2025-10-22 18:38:28,20MICRONS.NS,411.0,,,,,,86400.0,2.0,211.98,210.21,213.3,1.25,0.59,1753315200.0,0.0718,,0.621,20505.0,20505.0,156099.0,,,,,217.69435,0.0,0.0,8872804352.0,14396187.0,35286502.0,0.55704,0.00016000001,35730326.0,121.679,1.7445903,-0.056,17.41,,-0.29334223,1.25,1753315200.0,NSI,EQUITY,312982016.0,8.87,1158744064.0,1648262016.0,81925.0,81925.0,7584834048.0,158.2,300.4,0.816065,224.246,,,9294399488.0,37.974,263.448,-0.055,0.072,0.47068,0.12467,0.10824,0.06603,208.86,211.98,210.21,213.3,208.86,12.192992,,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,212.28,,,,,,none,,1.64,3.4,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,6,2
440558,2025-10-22 18:38:28,21STCENMGM.NS,10.0,,,,,,86400.0,2.0,49.37,47.61,49.37,2.5,4.15,1721952000.0,0.21280001,,0.521,1809.0,1809.0,5756.0,,,,,65.26985,0.0,0.0,496894016.0,2994810.0,10500000.0,0.6443,0.0,10685744.0,48.584,0.9890087,-0.905,-9.33,,-0.5838746,2.5,1721952000.0,NSI,EQUITY,7631000.0,0.727,-51900248.0,0.0,5872.0,5872.0,513449984.0,46.15,121.44,6.716154,52.3912,,,76450000.0,,7.277,-0.906,-0.969,-0.31516,-0.67888,0.69624,-1.28099,48.41,49.37,47.61,49.37,48.41,,,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,48.05,,,,,,none,,-0.74,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),2,2
440559,2025-10-22 18:38:28,360ONE.NS,1207.0,,,,,,86400.0,2.0,1200.1,1170.0,1200.1,12.0,1.02,1761523200.0,0.21700001,3.26,0.343,136457.0,136457.0,825557.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1038.516,12.0,0.010141131,600256479232.0,257739070.0,404760442.0,0.17491,0.62547,406549880.0,231.141,5.0852075,0.285,27.62,31.77,0.16607141,6.0,1761523200.0,NSI,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,1081049.0,1081049.0,475755446272.0,790.5,1318.0,12.064478,1070.114,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1183.3,1200.1,1170.0,1200.1,1183.3,42.556118,36.997166,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1175.4,1615.0,1150.0,1344.5454,1350.0,1.45455,strong_buy,11.0,-0.67,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,8,5
440560,2025-10-22 18:38:28,3IINFOLTD.NS,4552.0,,,,,,86400.0,2.0,19.11,19.08,19.32,,,1309996800.0,0.0,3.81,0.141,157035.0,157035.0,361089.0,,,,,24.02212,0.0,0.0,3284819968.0,149101386.0,169686742.0,0.14503999,0.0037599998,169686742.0,18.139,1.0568389,,2.32,,-0.30518305,14.216695,1309996800.0,NSI,EQUITY,596499968.0,3.523,311275008.0,635100032.0,431098.0,431098.0,3252894720.0,18.96,34.88,0.45395988,22.171875,,,7165599744.0,20.695,42.418,,-0.051,0.102060005,0.04344,-0.01911,0.058319997,19.07,19.11,19.08,19.32,19.07,8.262931,,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,Information Technology Services,Technology,19.17,,,,,,none,,0.52,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),12,10
440561,2025-10-22 18:38:28,3MINDIA.NS,1213.0,,,,,,86400.0,2.0,29940.0,29710.0,29940.0,160.0,0.54,1753401600.0,0.0,,0.067,453.0,453.0,5669.0,,,,,29342.998,0.0,0.0,327253983232.0,2649544.0,11265070.0,0.7648,0.09478,11266992.0,1639.135,18.17422,0.131,440.89,,-0.1205138,535.0,1753401600.0,NSI,EQUITY,9327792128.0,828.028,7994844672.0,995353024.0,2505.0,2505.0,335586426880.0,25718.15,37133.75,7.303369,30091.6,,,45949538304.0,5.39,4078.937,0.131,0.143,0.40228,0.17399,0.18944,0.10808,29675.0,29940.0,29710.0,29940.0,29675.0,67.56787,46.678158,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,Conglomerates,Industrials,29790.0,35610.0,35610.0,35610.0,35610.0,,none,1.0,0.39,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,12,8
440562,2025-10-22 18:38:28,3PLAND.NS,,,,,,,86400.0,2.0,44.14,41.15,44.14,,,,,,,1159.0,1159.0,14618.0,,,,,46.21505,,,,,,,,,,,,,,,,,NSI,EQUITY,,,,,5718.0,5718.0,,34.05,82.06,,45.226,,,,,,,,,,,,41.1,44.14,41.15,44.14,41.1,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,Unknown,Unknown,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,3,3
440563,2025-10-22 18:38:28,5PAISA.NS,539.0,,,,,,86400.0,2.0,311.55,311.55,316.5,,,,0.0,,0.175,14079.0,14079.0,172477.0,0.02546,0.07865,,-1264254976.0,377.05676,0.0,0.0,-65495020.0,12212679.0,31239338.0,0.57308,0.21072,31304326.0,200.815,1.5723426,-0.567,15.12,15.5,-0.3727029,,,NSI,EQUITY,12819201024.0,411.006,,2905526016.0,991491.0,991491.0,9863821312.0,311.0,525.0,3.3836596,354.135,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,312.45,311.55,311.55,316.5,312.45,20.882936,20.370968,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,Capital Markets,Financial Services,315.75,,,,,,none,,1.06,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),14,13
440564,2025-10-22 18:38:28,63MOONS.NS,378.0,,,,,,86400.0,2.0,805.0,795.05,808.0,1.2,0.15,1758067200.0,0.3854,5.9,0.56,15494.0,15494.0,123588.0,,,,,841.5465,0.0,0.0,16343947264.0,18044951.0,46078537.0,0.57987,0.0049,46738546.0,742.146,1.0830753,,5.22,,0.68493867,1.2,1758067200.0,NSI,EQUITY,20841580544.0,453.446,-2297157632.0,28480000.0,76975.0,76975.0,37568442368.0,436.1,1130.0,57.221687,899.711,,,656542016.0,0.083,14.267,,-0.214,-0.95168,0.0,-2.05535,-0.32753,801.05,805.0,795.05,808.0,801.05,153.98468,,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,Software - Application,Technology,803.8,,,,,,none,,0.34,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,15,9
440565,2025-10-22 18:38:28,A2ZINFRA.NS,6218.0,,,,,,86400.0,2.0,15.88,15.62,16.64,,,1316649600.0,0.0,,0.183,193684.0,193684.0,191867.0,,,,,18.1569,0.0,0.0,3754522112.0,118821456.0,176119858.0,0.37048,0.0,177380000.0,2.589,6.34608,42.034,0.55,,0.003052473,2.0,1316649600.0,NSI,EQUITY,51504000.0,0.275,116803504.0,916225024.0,277438.0,277438.0,2893649408.0,12.35,26.8,0.84084517,18.5434,,,3441358080.0,344.75,18.383,,0.095,0.10394,0.033940002,0.060650002,0.028199999,15.85,15.88,15.62,16.64,15.85,29.872726,,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,16.43,,,,,,none,,3.66,3.0,Hold,Hold,Low Beta (less volatile than the market),,,Hold,No strong momentum,9,6
440566,2025-10-22 18:38:28,AAATECH.NS,128.0,,,,,,86400.0,2.0,82.79,81.33,86.92,1.5,1.73,1756339200.0,0.5461,,0.16,29840.0,29840.0,131454.0,0.05815,0.11717,32173750.0,33768000.0,85.0108,0.0,0.0,867544768.0,4400038.0,12826800.0,0.63052,0.0,13113424.0,24.003,3.6174645,0.007,2.74,,-0.2865829,1.5,1756339200.0,NSI,EQUITY,249282000.0,19.381,34296000.0,0.0,73865.0,73865.0,1113751040.0,66.0,136.0,3.7466228,84.7554,9.407,9.664,297268000.0,,23.173,0.0,0.823,0.65985,0.11537,0.14103,0.11853,82.79,82.79,81.33,86.92,82.79,31.689781,,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,86.83,,,,,,none,,4.88,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,10,8
